14310,774,14310
14850,881,14850
15400,734,15400
15960,784,15960
16530,874,16530
17110,974,17110
17700,1051,17700
18300,1119,18300
18910,1256,18910
19530,1280,19530
20160,1381,20160
20800,1514,20800
21450,1593,21450
22110,1730,22110
22780,1804,22780
23460,1999,23460
Max String Size (2x): 24150 Total Time: 28518 Last Run Time: 2051
Benchmarking Algorithm: 2 CharacterSet: 1
10,0,10
30,0,30
60,0,60
100,0,100
150,0,150
210,1,210
280,1,280
360,2,360
450,2,450
550,3,550
660,3,660
780,3,780
910,4,910
1050,3,1050
1200,6,1200
1360,4,1360
1530,7,1530
1710,8,1710
1900,14,1900
2100,10,2100
2310,14,2310
2530,17,2530
2760,21,2760
3000,21,3000
3250,25,3250
3510,29,3510
3780,33,3780
4060,41,4060
4350,44,4350
4650,51,4650
4960,58,4960
5280,67,5280
5610,76,5610
5950,87,5950
6300,98,6300
6660,113,6660
7030,133,7030
7410,146,7410
7800,167,7800
8200,196,8200
8610,232,8610
9030,285,9030
9460,283,9460
9900,339,9900
10350,354,10350
10810,419,10810
11280,432,11280
11760,467,11760
12250,534,12250
12750,583,12750
13260,652,13260
13780,673,13780
14310,707,14310
14850,773,14850
15400,848,15400
15960,913,15960
16530,1000,16530
17110,1061,17110
17700,1186,17700
18300,1220,18300
18910,1304,18910
19530,1441,19530
20160,1543,20160
20800,1642,20800
21450,1703,21450
22110,1877,22110
22780,1971,22780
23460,2042,23460
24150,2279,24150
24850,2373,24850
25560,2532,25560
26280,2746,26280
27010,2963,27010
Max String Size (2x): 27750 Total Time: 43839 Last Run Time: 2954
Benchmarking Algorithm: 3 CharacterSet: 0
10,0,0
30,0,0
60,0,0
100,1,0
150,2,0
210,4,0
280,7,0
360,12,0
450,1,0
550,31,0
660,2,0
780,4,0
910,5,0
1050,7,0
1200,11,0
1360,13,0
1530,17,0
1710,22,0
1900,27,0
2100,33,0
2310,40,0
2530,50,0
2760,58,0
3000,69,0
3250,82,0
3510,97,0
3780,114,0
4060,133,0
4350,150,0
4650,173,0
4960,198,0
5280,226,0
5610,254,0
5950,288,0
6300,323,0
6660,361,0
7030,404,0
7410,451,0
7800,501,0
8200,556,0
8610,616,0
9030,677,0
9460,743,0
9900,815,0
10350,893,0
10810,976,0
11280,1065,0
11760,1159,0
12250,1261,0
12750,1371,0
13260,1484,0
13780,1603,0
14310,1730,0
14850,1865,0
15400,2010,0
15960,2161,0
Max String Size (2x): 16530 Total Time: 27478 Last Run Time: 2322
Benchmarking Algorithm: 3 CharacterSet: 1
10,0,0
30,0,0
60,0,0
100,1,0
150,2,0
210,4,0
280,7,0
360,12,0
450,1,0
550,31,0
660,2,0
780,4,0
910,6,0
1050,8,0
1200,10,0
1360,13,0
1530,17,0
1710,21,0
1900,27,0
2100,33,0
2310,41,0
2530,50,0
2760,58,0
3000,69,0
3250,82,0
3510,97,0
3780,114,0
4060,132,0
4350,150,0
4650,173,0
4960,197,0
5280,226,0
5610,255,0
5950,288,0
6300,322,0
6660,361,0
7030,404,0
7410,451,0
7800,501,0
8200,555,0
8610,615,0
9030,677,0
9460,743,0
9900,815,0
10350,894,0
10810,977,0
11280,1065,0
11760,1160,0
12250,1262,0
12750,1370,0
13260,1484,0
13780,1604,0
14310,1731,0
14850,1866,0
15400,2009,0
15960,2161,0
Max String Size (2x): 16530 Total Time: 27478 Last Run Time: 2320
Benchmarking Algorithm: 4 CharacterSet: 0
10,0,18
30,0,58
60,0,118
100,2,198
150,6,298
210,10,418
280,3,558
360,4,718
450,15,898
550,17,1098
660,8,1318
780,11,1558
910,13,1818
1050,16,2098
1200,19,2398
1360,25,2718
1530,27,3058
1710,34,3418
1900,41,3798
2100,49,4198
2310,59,4618
2530,62,5058
2760,72,5518
3000,84,5998
3250,100,6498
3510,116,7018
3780,136,7558
4060,158,8118
4350,191,8698
4650,210,9298
4960,240,9918
5280,273,10558
5610,309,11218
5950,349,11898
6300,393,12598
6660,441,13318
7030,492,14058
7410,549,14818
7800,608,15598
8200,674,16398
8610,746,17218
9030,825,18058
9460,908,18918
9900,996,19798
10350,1091,20698
10810,1190,21618
11280,1299,22558
11760,1414,23518
12250,1538,24498
12750,1732,25498
13260,1806,26518
13780,1956,27558
14310,2110,28618
14850,2307,29698
15400,2450,30798
15960,2636,31918
16530,2830,33058
17110,3040,34218
17700,3250,35398
18300,3487,36598
18910,3725,37818
19520,3984,39038
20140,4233,40278
20760,4513,41518
21380,4796,42758
22000,5085,43998
22620,5379,45238
23240,5686,46478
23860,6008,47718
24480,6334,48958
25100,6724,50198
25720,7004,51438
26340,7351,52678
26960,7719,53918
27580,8077,55158
28200,8455,56398
28820,8832,57638
29440,9241,58878
30060,9634,60118
Max String Size (2x): 30680 Total Time: 176257 Last Run Time: 10050
Benchmarking Algorithm: 4 CharacterSet: 1
10,0,18
30,0,58
60,1,118
100,2,198
150,6,298
210,10,418
280,3,558
360,4,718
450,16,898
550,17,1098
660,7,1318
780,10,1558
910,13,1818
1050,15,2098
1200,30,2398
1360,24,2718
1530,27,3058
1710,34,3418
1900,40,3798
2100,49,4198
2310,59,4618
2530,61,5058
2760,72,5518
3000,85,5998
3250,99,6498
3510,117,7018
3780,136,7558
4060,158,8118
4350,190,8698
4650,210,9298
4960,240,9918
5280,273,10558
5610,309,11218
5950,350,11898
6300,392,12598
6660,439,13318
7030,492,14058
7410,549,14818
7800,608,15598
8200,674,16398
8610,745,17218
9030,824,18058
9460,908,18918
9900,996,19798
10350,1091,20698
10810,1190,21618
11280,1299,22558
11760,1415,23518
12250,1538,24498
12750,1733,25498
13260,1805,26518
13780,1956,27558
14310,2110,28618
14850,2307,29698
15400,2449,30798
15960,2635,31918
16530,2831,33058
17110,3040,34218
17700,3250,35398
18300,3487,36598
18910,3725,37818
19520,3984,39038
20140,4231,40278
20760,4512,41518
21380,4797,42758
22000,5086,43998
22620,5379,45238
23240,5687,46478
23860,6007,47718
24480,6334,48958
25100,6724,50198
25720,7004,51438
26340,7350,52678
26960,7718,53918
27580,8076,55158
28200,8456,56398
28820,8833,57638
29440,9242,58878
30060,9635,60118
Max String Size (2x): 30680 Total Time: 176260 Last Run Time: 10050
Timing Algorithm 4 on 40,000 character input sets
NumRuns: 1 Average Time: 22596 Total Time: 22596 Recursive Calls (Last Run): 74828

